--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82331;21/02/1998;1800;25;24.4;95;1007.6;9;2;10;
82331;22/02/1998;0000;25;24;92;1006.5;0;0;4;
82331;22/02/1998;1200;25.6;24.2;89;1007.5;9;2;10;
82331;22/02/1998;1800;31.4;26.6;69;1005.6;5;2;4;
82331;23/02/1998;0000;26.8;25.6;91;1006.5;9;2;10;
82331;23/02/1998;1200;26.2;25.6;95;1008.2;9;2;10;
82331;23/02/1998;1800;27;24.8;84;1005.9;5;2;10;
82331;24/02/1998;0000;26.8;26;94;1005.6;5;1;10;
82331;24/02/1998;1200;25.6;24.6;92;1008.6;0;0;10;
82331;24/02/1998;1800;31;27.6;77;1004.9;9;2;8;
82331;25/02/1998;0000;26.2;24.8;89;1005.7;0;0;8;
82331;25/02/1998;1200;25.8;25.2;95;1007.6;0;0;10;
82331;25/02/1998;1800;27.6;25.6;85;1005.9;0;0;10;
82331;26/02/1998;0000;26.8;25.8;92;1005;0;0;0;
82331;26/02/1998;1200;25.6;24.6;92;1008.4;0;0;10;
82331;26/02/1998;1800;28;25.8;84;1004.4;5;2;10;
82331;27/02/1998;0000;27;25.6;89;1004;0;0;0;
82331;27/02/1998;1200;26.8;26.2;95;1006.4;9;1;10;
82331;27/02/1998;1800;29.8;27.4;83;1003.8;9;2;8;
82331;28/02/1998;0000;26.4;24.8;88;1003.7;0;0;4;
82331;28/02/1998;1200;27.6;25.6;85;1005.8;0;0;10;
82331;28/02/1998;1800;30.8;26.8;73;1003.5;9;2;8;
82331;01/03/1998;0000;26.6;25.4;91;1004.4;0;0;10;
82331;01/03/1998;1200;26.6;25.2;89;1006.1;9;2;10;
82331;01/03/1998;1800;25.8;24.4;89;1005;0;0;10;
82331;02/03/1998;0000;26.5;25.6;93;1003.9;0;0;10;
82331;02/03/1998;1200;26.2;25.2;92;1007.1;0;0;10;
82331;02/03/1998;1800;31.2;26.8;71;1004.8;9;2;8;
82331;03/03/1998;0000;27.2;25.8;89;1004.3;0;0;8;
82331;03/03/1998;1200;24;23.6;97;1009.8;0;0;10;
82331;03/03/1998;1800;28.2;26.2;85;1005.9;0;0;8;
82331;04/03/1998;0000;27.2;25;84;1004;9;1;6;
82331;04/03/1998;1200;24.8;24.2;95;1009.8;0;0;10;
82331;04/03/1998;1800;27.2;25.8;89;1006.4;5;1;10;
82331;05/03/1998;0000;26.6;25.8;94;1004.7;9;2;8;
82331;05/03/1998;1200;25.2;25;98;1008;0;0;10;
82331;05/03/1998;1800;31.8;28.6;79;1005.1;9;2;6;
82331;06/03/1998;0000;27;25.2;87;1004.2;5;2;9;
82331;06/03/1998;1200;24.6;23.8;94;1007.9;9;2;10;
82331;06/03/1998;1800;30;27.8;85;1003.8;5;2;10;
82331;07/03/1998;0000;25.2;24.2;92;1003.3;36;1;10;
82331;07/03/1998;1200;26.6;25.6;92;1006.1;0;0;10;
82331;07/03/1998;1800;32;27.8;73;1004.6;9;2;8;
82331;08/03/1998;0000;30;25.6;70;1004.1;0;0;0;
82331;08/03/1998;1200;26.8;26.6;98;1008.1;0;0;10;
82331;08/03/1998;1800;28.6;25.8;80;1002.7;0;0;8;
82331;09/03/1998;0000;26.5;25.5;92;1004.4;0;0;8;
82331;09/03/1998;1200;26.8;25.8;92;1006.3;5;1;8;
82331;09/03/1998;1800;31.2;29.8;90;1004.8;9;2;6;
82331;10/03/1998;0000;27.8;23.6;70;1005.1;5;2;10;
82331;10/03/1998;1200;26;25.6;97;1007.5;0;0;10;
82331;10/03/1998;1800;32.2;30.6;89;1004.1;9;2;8;
82331;11/03/1998;0000;29.2;26.4;80;1004.3;0;0;2;
82331;11/03/1998;1200;27.2;25.8;89;1007.6;9;2;10;
82331;11/03/1998;1800;31.2;29.4;88;1005.9;9;2;8;
82331;12/03/1998;0000;27.4;26.8;95;1005.1;5;2;4;
82331;12/03/1998;1200;26.6;25.8;94;1007.8;0;0;10;
82331;12/03/1998;1800;32;29.8;85;1005.1;5;2;6;
82331;13/03/1998;0000;28.8;27.6;91;1004.8;0;0;4;
82331;13/03/1998;1200;26;25.6;97;1007.6;0;0;10;
82331;13/03/1998;1800;32.8;30.6;85;1004.2;9;2;8;
82331;14/03/1998;0000;26.2;25.2;92;1004.9;36;2;8;
82331;14/03/1998;1200;27.4;25.6;87;1007.4;5;2;10;
82331;14/03/1998;1800;26.8;26.4;97;1004.9;0;0;10;
82331;15/03/1998;0000;26.6;26.4;98;1005.3;0;0;10;
82331;15/03/1998;1200;26.4;26.2;98;1006.9;0;0;10;
82331;15/03/1998;1800;31;27.4;76;1005.5;9;2;8;
82331;16/03/1998;0000;28;27.4;95;1004.2;0;0;0;
82331;16/03/1998;1200;25.2;24.8;97;1006.3;0;0;10;
82331;16/03/1998;1800;25.6;25.2;97;1005.9;0;0;10;
82331;17/03/1998;0000;25.2;24.8;97;1004.9;0;0;5;
82331;17/03/1998;1200;26;25.4;95;1006.3;0;0;10;
82331;17/03/1998;1800;31;29.8;92;1004.9;5;2;6;
82331;18/03/1998;0000;27.6;26;88;1003.7;0;0;0;
82331;18/03/1998;1200;26.8;25.4;89;1008.3;0;0;10;
82331;18/03/1998;1800;30.2;28.8;90;1003.9;9;2;8;
82331;19/03/1998;0000;26.4;25.4;92;1003.8;0;0;6;
82331;19/03/1998;1200;26.6;25.2;89;1007.9;9;2;10;
82331;19/03/1998;1800;28.6;27;88;1004.7;0;0;10;
82331;20/03/1998;0000;26.4;25.6;94;1005.5;0;0;6;
82331;20/03/1998;1200;25.6;25.4;98;1008.2;0;0;10;
82331;20/03/1998;1800;26;25.2;94;1007.1;0;0;10;
