--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82280;23/03/1998;0000;27.6;25.8;87;1003.1;;;9;
82280;23/03/1998;1200;24.4;23.8;95;1006.5;;;10;
82280;23/03/1998;1800;28.8;26;80;1002.7;;;9;
82280;24/03/1998;0000;25.6;25;95;1005.3;;;10;
82280;24/03/1998;1200;25.2;24.8;97;1006.2;;;10;
82280;24/03/1998;1800;28.2;26;84;1003.5;;;8;
82280;25/03/1998;0000;26.2;25.4;94;1005.6;;;10;
82280;25/03/1998;1200;27.4;26.4;92;1006.4;;;10;
82280;25/03/1998;1800;29;26;79;1003.5;;;10;
82280;26/03/1998;0000;26;25.5;96;1005.4;;;6;
82280;26/03/1998;1200;27.8;26.2;88;1006.9;;;7;
82280;26/03/1998;1800;29.2;26.4;80;1004.3;;;7;
82280;27/03/1998;0000;27.2;25.6;88;1005.6;;;6;
82280;27/03/1998;1200;27.2;25.2;85;1005.7;;;10;
82280;27/03/1998;1800;30.8;26;68;1002.7;;;8;
82280;28/03/1998;0000;26;25;92;1003.8;;;3;
82280;28/03/1998;1200;27.8;25.8;85;1005.6;;;5;
82280;28/03/1998;1800;30.2;26.5;75;1002.2;;;9;
82280;29/03/1998;0000;26.6;25.2;89;1004.5;;;2;
82280;29/03/1998;1200;25.6;25.2;97;1004.8;;;10;
82280;29/03/1998;1800;29;26.8;84;1001.2;;;6;
82280;30/03/1998;0000;26.2;25.6;95;1003.3;;;6;
82280;30/03/1998;1200;26;25.4;95;1003.8;;;10;
82280;30/03/1998;1800;28;25.4;81;1002.7;;;10;
82280;31/03/1998;0000;24.2;23.8;97;1004.8;;;10;
82280;31/03/1998;1200;28.8;25.8;79;1004.7;;;6;
82280;31/03/1998;1800;31;26;67;1002.2;;;5;
82280;01/04/1998;0000;26.2;25;91;1004.7;;;4;
82280;01/04/1998;1200;28.8;26.8;86;1005.7;;;4;
82280;01/04/1998;1800;27.1;25.8;90;1003.9;;;10;
82280;02/04/1998;0000;25.6;25;95;1006.2;;;6;
82280;02/04/1998;1200;26.8;25.8;92;1007.2;;;10;
82280;02/04/1998;1800;30;26;73;1003.1;;;8;
82280;03/04/1998;0000;25.6;24.8;94;1006.8;;;8;
82280;03/04/1998;1200;29.2;26;78;1005;;;6;
82280;03/04/1998;1800;31.6;29.3;84;1003.8;;;9;
82280;04/04/1998;0000;26.8;26;94;1005.2;;;4;
82280;04/04/1998;1200;28.6;26.8;87;1005.5;;;8;
82280;04/04/1998;1800;26.2;25.6;95;1002.3;;;9;
82280;05/04/1998;0000;26;25.6;97;1004.6;;;10;
82280;05/04/1998;1200;30;27;79;1004.6;;;8;
82280;05/04/1998;1800;31.8;27.2;70;1001.8;;;4;
82280;06/04/1998;0000;26.4;25.2;91;1004.4;;;0;
82280;06/04/1998;1200;30;26.8;78;1005.4;;;10;
82280;06/04/1998;1800;30.6;26;70;1002;;;6;
82280;07/04/1998;0000;27.6;26.2;90;1004.3;;;6;
